Linear Greedy Val,Quadratic Greedy Val,Projected Subgradient Val,Linear Greedy Strategy,Quadratic Greedy Strategy,Projected Subgradient Strategy,x,y,u
-0.15131693880030925,-0.0691334095482375,-0.15131693880030925,"[0.0, 1.0, 0.0]","[0.2857142857142857, 0.5714285714285714, 0.14285714285714285]","[0.0, 1.0, 0.0]","[37.18376951064073, 38.92212189708497, 83.4950505497135, 96.32969528358278, 82.02043847740342, 68.55060750291445, 59.323944888819064, 66.87386652147975, 51.4790170764389, 83.04264530733818]","[0, 0, 1, 1, 1, 1, 1, 0, 0, 1]","[86.68026893601758, 12.674245890400792, 71.56312940070595]"
0.05059212585334255,0.0,0.0,"[0.0, 0.0, 1.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[33.08561412649333, 52.732602219028045, 50.42055734598637, 34.152793604022364, 13.065217235707689, 94.98689195245117, 63.2437457313571, 13.187516413960429, 12.113320801245333, 42.351967016072884]","[1, 1, 0, 0, 0, 0, 1, 0, 1, 1]","[44.37218037288074, 24.53092585112738, 61.927129642166214]"
0.14423298834300569,0.0,0.0,"[0.0, 0.0, 1.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[74.68998004198053, 46.840951539447985, 61.9762040884782, 90.2231762129536, 50.50737109860146, 50.93670513958366, 37.49525680448836, 47.41189655581948, 90.51614284913984, 14.258877548191911]","[0, 0, 0, 1, 0, 0, 0, 1, 0, 1]","[61.388719788574356, 58.0566212889605, 41.51210178552055]"
0.15135866743207038,0.0,0.0,"[0.0, 0.0, 1.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[50.08574271849197, 77.3193904157275, 52.04999347145082, 44.60791691613699, 14.091709184393462, 10.569092902565881, 54.73168045665603, 59.90860477506285, 20.73817861549113, 14.945262036055546]","[1, 0, 1, 0, 0, 0, 0, 1, 1, 1]","[67.36318538030058, 2.2391448896036836, 17.16450321611972]"
0.2966295218633006,0.0,0.0,"[0.0, 0.0, 1.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[20.641193154270894, 67.21508409898365, 76.75322783473737, 45.06954646336523, 53.15537334951433, 89.87271024500137, 69.86249798826552, 70.3651599387639, 89.33828873023771, 28.050614985058413]","[1, 1, 0, 0, 0, 0, 0, 0, 1, 1]","[47.819353103841046, 99.90770336800784, 50.214777217532045]"
0.14254315259952083,0.0,0.0,"[0.0, 0.0, 1.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[67.95108785397892, 42.3356466528973, 59.392831468635876, 15.43580314007244, 85.48837423703043, 75.35037613439961, 79.44807482888552, 52.29415944248493, 79.63642409280362, 33.34209889589246]","[0, 0, 1, 1, 1, 0, 1, 0, 1, 0]","[8.867790364815775, 12.304379136831766, 28.724608683962295]"
0.054525114054941815,0.0,0.0,"[1.0, 0.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[29.298295137587356, 49.7355548198288, 21.73153309074705, 13.74845954838427, 47.01525846724877, 42.40616130325515, 93.09202362959016, 98.01213931650476, 11.707659213352157, 44.17401195656379]","[1, 1, 1, 1, 0, 0, 1, 1, 0, 0]","[81.7129093484062, 60.782193258767656, 56.45229766000697]"
0.08627205695469922,0.0,0.0,"[0.0, 1.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[19.223801121983293, 66.72649159396263, 80.32786651356544, 65.79810135174642, 29.717534673856324, 71.53927836070407, 16.202752824047703, 92.20401629155246, 51.94443351837987, 28.203162724945276]","[1, 0, 1, 0, 1, 1, 0, 1, 1, 0]","[7.775667305374179, 79.91652130461314, 74.95675219703018]"
0.13205619354642098,0.0,0.0,"[0.0, 0.0, 1.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[74.61683109838262, 44.56767871330314, 52.249498223627235, 41.364610495907186, 27.4250092597264, 87.13681283699172, 92.37950202961395, 71.97052095074474, 23.19637584737385, 19.677659711763994]","[1, 0, 0, 0, 0, 0, 1, 0, 1, 0]","[4.084921882964521, 30.12817169479465, 0.9110213299285075]"
0.16000793337057942,0.0,0.0,"[1.0, 0.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[70.0959363269267, 39.49304295777304, 47.57450079611372, 43.577985207535775, 93.65352434279845, 38.00693042675351, 22.011370664206858, 78.35595590982012, 78.72598909295586, 96.26608006239408]","[1, 0, 1, 1, 1, 0, 1, 1, 1, 1]","[20.996127360028883, 46.02195044086934, 23.641132942606923]"
0.0015017983785901023,0.0,0.0,"[0.0, 0.0, 1.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[36.41210882494182, 92.12199659822491, 85.57166649989345, 77.52450789212375, 35.45168527125252, 75.28851582966504, 54.75531159230518, 22.73879502474813, 58.284077845943806, 19.848763748520824]","[0, 1, 0, 0, 0, 1, 1, 0, 1, 0]","[67.44824964713892, 93.9377208447225, 66.85763686375435]"
0.20428507235135185,0.0,0.0,"[0.0, 0.0, 1.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[36.95537020527522, 80.28719542830594, 53.00657380234487, 61.62813754299495, 48.62025664656858, 22.39204105568457, 96.74364770626323, 86.65304592779165, 38.08251538645331, 18.647310584942566]","[1, 0, 1, 0, 1, 1, 0, 1, 0, 0]","[0.9285626579935813, 63.897972789149, 20.336578392620964]"
0.5443526731774062,0.0,0.0,"[1.0, 0.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[50.9199632747648, 41.65323608405788, 60.62024408506102, 72.03021490392496, 37.00835168046824, 72.11168704956818, 69.47438585077472, 74.99498347851647, 22.19164275436958, 52.919716392194424]","[0, 1, 1, 1, 1, 0, 0, 1, 1, 0]","[21.937889458801063, 11.543256221371845, 31.903035562145753]"
0.16823477256475688,0.0,0.0,"[0.0, 1.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[78.26941628118193, 46.22415347034524, 60.16683495381541, 15.044721661130694, 92.52755193918208, 73.46584226219346, 54.402763504007716, 17.408036299117832, 61.12744714764616, 72.48895832584508]","[0, 1, 1, 0, 1, 0, 1, 0, 1, 0]","[22.201707156586703, 7.866581269338758, 73.22094870169852]"
0.2122885932336046,0.0,0.0,"[0.0, 0.0, 1.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[98.32851448838159, 39.81378900325344, 40.05044629150635, 37.01487330122329, 99.13350418931776, 41.161098772177404, 47.08755908013005, 64.3472838721152, 57.47621981016588, 72.71226514154549]","[1, 1, 0, 1, 1, 0, 1, 1, 1, 1]","[42.56584655848242, 86.47974141703946, 92.65542734185168]"
0.1363721534660562,0.0,0.0,"[1.0, 0.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[57.574017308678215, 22.734533205593117, 75.01054005533214, 68.3882240286801, 14.417557786391974, 40.438992583162104, 69.92316300087175, 91.5581866142885, 91.45677308042868, 14.8774583299096]","[1, 1, 0, 0, 0, 1, 0, 1, 1, 1]","[17.214223890164437, 50.794881610377686, 90.15357586525367]"
0.028694174891225888,0.0,0.0,"[0.0, 0.0, 1.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[11.43610151773996, 62.01478722765621, 34.024417963607945, 48.41623529902943, 10.66776674774236, 30.184530851013612, 82.3517621102378, 93.07863115000751, 64.0462014021069, 35.70242585592729]","[0, 1, 0, 0, 0, 1, 0, 1, 1, 1]","[17.647815252318644, 10.60364168296296, 51.51533580720559]"
0.4018841298233592,0.0,0.0,"[0.0, 0.0, 1.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[87.1076377210112, 85.7052456846171, 97.0953225609817, 23.649631513797864, 72.008577851252, 73.34008302343543, 73.29428571118999, 36.70098510566473, 79.75484813411367, 70.0251092450741]","[1, 1, 1, 1, 1, 0, 0, 1, 1, 1]","[43.565729011882006, 1.2789387160683563, 78.09713701086967]"
0.18155120670341207,0.0,0.0,"[0.0, 0.0, 1.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[78.54522125676537, 38.24273765361876, 80.76920548932864, 65.67751000349274, 73.50208215948369, 13.982582573096652, 18.012574370030435, 61.19614562244551, 24.58765069312652, 68.11816719577482]","[0, 1, 0, 0, 0, 1, 0, 1, 0, 0]","[37.90052281392582, 58.947214264523, 24.546145296369627]"
0.12917320291378454,0.0,0.0,"[0.0, 1.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[33.81233315869891, 72.07387964822985, 81.0757255665122, 65.77003892014534, 30.192529449305354, 97.60204147263904, 55.46144608863703, 68.03279491522883, 96.12835932123124, 46.910484443732244]","[1, 0, 1, 1, 0, 1, 1, 1, 1, 1]","[81.15898451967031, 28.50828762846692, 98.16080458655563]"
0.062433333098559085,0.0,0.0,"[0.0, 1.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[72.83669024610856, 71.27329017917339, 70.35160092704172, 61.399396101677326, 96.27628830444232, 50.32341995107787, 96.99024514224344, 83.29136361961332, 18.83491206745597, 50.243842655288496]","[1, 1, 1, 0, 0, 0, 1, 1, 0, 0]","[98.77859123231367, 10.19842778757244, 93.97550285284859]"
0.2264472661572483,0.0,0.0,"[1.0, 0.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[24.7946905108189, 21.68891882890836, 70.93724591025482, 12.54880630906693, 23.578975960252137, 85.10178484587901, 73.66026594653586, 76.04069523021492, 49.14579015770424, 57.23248632975731]","[0, 1, 1, 1, 1, 1, 0, 0, 0, 0]","[13.86586671405553, 18.43502439082365, 26.007531964189155]"
0.014822956001703164,0.0,0.0,"[0.0, 0.0, 1.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[29.468259634794187, 54.844320906109274, 45.172640628606935, 71.69357550825785, 22.03284785688152, 52.97844764849627, 41.5938629465756, 89.14880876496667, 13.232987867374494, 41.07955998948767]","[0, 1, 1, 0, 0, 1, 0, 1, 0, 0]","[0.7424301708413572, 70.61013036251694, 57.31158341054701]"
0.039401227290402185,-0.012240655377708985,0.0,"[0.0, 0.0, 1.0]","[0.2, 0.4, 0.4]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[47.94982736660221, 41.12874849086495, 80.36747988635173, 49.40381404558532, 20.71180485244023, 17.181903207486595, 56.70214507770489, 15.543801512763572, 38.602650678228635, 11.724197622682572]","[1, 0, 0, 0, 1, 1, 0, 1, 0, 0]","[46.357265476044475, 95.62226588471096, 96.92126139158698]"
0.014209394513595576,0.0,0.0,"[1.0, 0.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[37.46667953864928, 76.87143644761494, 66.97337186313078, 54.65185576154053, 99.33835890106653, 11.843513471843847, 97.29340202225701, 17.80583921605675, 14.15521417610924, 55.938256297832865]","[0, 1, 0, 0, 1, 0, 1, 1, 0, 1]","[58.86176500171314, 92.59532912466477, 88.30621579265095]"
0.3584316912018129,0.0,0.0,"[0.0, 0.0, 1.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[60.71687907243893, 73.49783527002376, 71.56600311302054, 84.63605072377753, 18.528615193459096, 62.32153142229101, 65.57061574145618, 53.21492176837087, 75.0156579038533, 41.86903747072682]","[1, 0, 0, 1, 1, 1, 1, 0, 0, 0]","[81.73248482880605, 27.057243575633315, 13.975439228165765]"
0.1152819808042857,0.0,0.0,"[0.0, 1.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[23.1638631857723, 48.85755593661387, 83.19392274718628, 51.733382307449915, 59.79146882970312, 78.56578250503954, 83.91431729202989, 74.91919885447126, 22.145683785897134, 21.608049558277287]","[0, 0, 0, 1, 1, 1, 0, 1, 1, 0]","[95.63444641551219, 96.9084499447821, 89.27815970810016]"
0.05997799673803296,0.0,0.0,"[1.0, 0.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[32.447192111529546, 83.00418640481452, 14.13115675004232, 47.241004429940794, 94.44983790153611, 51.59846245260265, 41.554479662160155, 43.60627030362855, 40.39472121013566, 56.435121234067296]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1]","[71.28824036315538, 87.67505642585989, 83.02283182702354]"
0.010691458952960753,0.003081996992139069,-0.01877819378589818,"[0.0, 0.0, 1.0]","[0.4, 0.2, 0.4]","[0.33333345135481446, 0.0, 0.6666665486451855]","[94.53415832376854, 10.81758556919482, 27.299140666603087, 62.57675090632146, 17.356592668843042, 20.57563193465036, 36.33791072042527, 61.5421691626676, 92.67232971189007, 82.33114301006935]","[0, 1, 0, 1, 1, 1, 1, 1, 0, 0]","[43.28662116801002, 73.8658765319015, 1.6521952729445122]"
0.013657106983320233,0.0,0.0,"[0.0, 0.0, 1.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[19.352890832805898, 86.84984304569163, 45.204883271941114, 21.068237068129683, 80.28061052696142, 62.89341304290035, 68.83316470055593, 73.46533738396671, 78.74173527095675, 36.316155918951495]","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]","[64.5424695294831, 54.664217397719696, 78.22764252979144]"
0.17484753321225688,0.0,0.0,"[0.0, 0.0, 1.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[28.099039939547115, 66.49508109468306, 68.06389454729643, 11.561091233329465, 79.36875959821624, 75.88096630806204, 91.62190082645942, 78.50955484385887, 44.46226514723239, 24.95703486242463]","[1, 0, 0, 1, 0, 1, 1, 0, 0, 0]","[21.831519076620644, 33.05082812899677, 46.88050806828008]"
0.09039954482382823,0.0,0.0,"[1.0, 0.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[24.97957838916739, 31.31826419208151, 87.03359672958446, 70.3620773546165, 21.755206094294223, 62.86080889436096, 53.37975495733637, 21.372370986428606, 73.63318654941453, 33.176687984465985]","[0, 0, 0, 1, 1, 0, 1, 1, 1, 1]","[65.81944514929141, 77.0595092518769, 77.5136716367885]"
0.15255961818296307,0.0,0.0,"[0.0, 0.0, 1.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[62.570846475223036, 95.20841970681262, 36.63029554045919, 27.583527608081535, 83.30248708936004, 99.94950509626693, 52.09501742683589, 51.73771119798154, 26.57322708801948, 25.713472428971606]","[0, 0, 0, 1, 0, 1, 0, 1, 0, 0]","[59.09444184183864, 39.257588010301184, 4.989407328885931]"
0.3637275490476687,0.0,0.0,"[0.0, 0.0, 1.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[66.70222842882174, 86.11297161858722, 97.12598535642734, 69.13498258847919, 59.215129959000826, 77.55476159837758, 18.284577591271223, 69.91711189730668, 66.36568605670499, 41.151178283588]","[1, 0, 0, 0, 1, 0, 0, 1, 1, 1]","[26.73761627192618, 90.05663454574423, 40.8771519838706]"
0.06037467960264484,0.0,0.0,"[0.0, 0.0, 1.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[32.31885548048077, 51.59409048496471, 14.722003920381049, 93.46440300806051, 15.662799926104277, 68.04356022794256, 90.3765360288283, 20.34428461934958, 45.17623707442836, 21.312134951585314]","[1, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[12.467650943276986, 31.337151508641604, 93.03974998531683]"
